link,product_name,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,marketplace,itemId,shopId
https://www.lazada.co.th/products/diy-i5091512358.html,แป้งโดว์ แป้งปั้น DIY เสริมสร้างจินตนาการ มีหลายแบบให้เลือก,กรุงเทพมหานคร,5.0,14.0,37 ชิ้น,"มินิ ฟ้า, มินิ ชมพู, กล่องใส ฟ้า, กล่องใส ชมพู, บ้าน ฟ้า, บ้าน ชมพู",69.0,29.0,58%,tigtietoys,,lazada,5091512358,1000477764
https://www.lazada.co.th/products/170-i2569464467.html,แป้งโดว์ 170 กรัม โฮมเมด ปลอดสาร เลือกสีได้,ขอนแก่น,5.0,62.0,146 ชิ้น,"สีม่วง Purple, สีดำ, สีน้ำเงิน, สีแดง, สีส้ม, สีเหลือง, สีชมพู, สีเขียวเข้ม, สีฟ้า, สีขาว, สีน้ำตาล, สีเขียวอ่อน",24.0,24.0,,พอใจแป้งโดว์โฮมเมด,,lazada,2569464467,100191099597
https://www.lazada.co.th/products/10-10-a-i931128432.html,แป้งโดว์ หลอด 10 กระปุก 10สี ดินปั้น โดว์ แป้งปั้น งานเกรด A,กรุงเทพมหานคร,4.877118644067797,236.0,1.5K ชิ้น,แป้งโดว์,100.0,89.0,11%,ToyNamusBrickmore,,lazada,931128432,100204262
https://www.lazada.co.th/products/nara-dough-cupcake-3-120-i3940902282.html,NARA Dough Cupcake แป้งโดว์ไร้สารกลูเต็น ชุด ทำคัพเค้ก ( แป้งโดว์ 3 สี รวม 120 กรัม + ของเล่นทำคัพเค้ก),กรุงเทพมหานคร,5.0,32.0,165 ชิ้น,,199.0,199.0,,NARA Global,,lazada,3940902282,30426
https://www.lazada.co.th/products/10-i5109812074.html,แป้งโดว์กระปุก แป้งโดว์ กระปุกกระต่าย นิ่มปั่นง่าย 10สี มี มอก.,สกลนคร,5.0,1.0,,คละสี เลือกสีทักแชท,39.0,23.0,41%,FJ-PS,,lazada,5109812074,1000177937
https://www.lazada.co.th/products/childrens-plasticine2436-i5285702074.html,ดินน้ำมันไร้สารพิษ ดินน้ำมันสำหรับเด็ก ดินน้ำมันแป้งโดว์ children's Plasticine24/36 สี ไม่จางหาย ฟรีชุดสามชิ้นตัดดินเผา,กรุงเทพมหานคร,,,5 ชิ้น,"24 สี/กล่อง, 36 สี/กล่อง",58.0,28.05,52%,Do As You Wish,mall,lazada,5285702074,100198524280
https://www.lazada.co.th/products/play-doh-party-pack-10-cans-10-i1699172351.html,Play-Doh Party Pack 10 cans แป้งโดว์ 10กระปุก  ของเล่น  แป้งโดว์ เพลย์โดว์ ดินน้ำมัน ปั้น ของแท้,นนทบุรี,4.7592592592592595,32.0,305 ชิ้น,หลากสี,459.0,399.0,13%,imageoutlet,,lazada,1699172351,100183780
https://www.lazada.co.th/products/10-10-color-dough-party-pack-10pcs-i1928618424.html,แป้งโดว์ 10 สี 10 กระปุก / เสริมพัฒนาการ เสริมสร้างจินตนาการ  Color Dough Party Pack 10pcs,กรุงเทพมหานคร,4.963414634146342,246.0,1.5K ชิ้น,K28,59.0,54.0,8%,S toy,,lazada,1928618424,100181577099
https://www.lazada.co.th/products/nara-dough-520-4-4-500-5-5-i3886879109.html,NARA Dough แป้งโดว์ไร้สารกลูเต็น ขนาด 520 กรัม 4 กระปุก 4 สี เเละ 500 กรัม 5 กระปุก 5 สี,กรุงเทพมหานคร,4.867052023121388,173.0,890 ชิ้น,"520 กรัม 4 สี, 500 กรัม 5 สี",139.0,139.0,,NARA Global,,lazada,3886879109,30426
https://www.lazada.co.th/products/play-clay-dough-i4837333483.html,แป้งโดว์ ดินเบา ของเล่นเสริมพัฒนาการ เกรดพรีเมียม ดินนุ่มปั้นสบาย ขึ้นทรงอยู่ตัว ดินน้ำมัน  play clay dough,สมุทรปราการ,4.989690721649485,97.0,521 ชิ้น,"12 สี, 24 สี, 36 สี",70.0,32.0,54%,Double EQ Plus,,lazada,4837333483,1000023905
https://www.lazada.co.th/products/set-12-i2412602594.html,[แป้งโดว์ ไร้สารพิษ] แป้งโดว์ภูริ ชุดกล่องของขวัญ Set 12 สี,นนทบุรี,5.0,14.0,70 ชิ้น,,169.0,169.0,,PuriDough,,lazada,2412602594,100192434215
https://www.lazada.co.th/products/kids-learning-6-i4872990841.html,🏅Kids learning🏅เซทแป้งโดว์ลายไดโนเสาร์ ออกไข่ได้ มาพร้อมแม่พิมพ์ โดว์ 6 กระปุก,กรุงเทพมหานคร,5.0,3.0,7 ชิ้น,"ไดโนเสาร์, ม้าโพนี่, ทำไอติม, ทำขนม, ทำเส้น, ทำCake",250.0,169.0,32%,Kids Learning,,lazada,4872990841,1000036472
https://www.lazada.co.th/products/premium-13-food-grade-i5067089951.html,แป้งโดว์ Premium [ เลือกได้ 13แบบ] ปลอดภัยสำหรับเด็ก Food Grade ปราศจากพลาสติกและสารเจือปน,ลำพูน,5.0,29.0,92 ชิ้น,"แป้งเบา+ที่ตัด 48สี, เครื่องทำ Pizza, โลกของสัตว์ป่า, เครื่องทำราเมน, บาร์บีคิว, เครื่องทำไอศกรีม, เครื่องทำขนมหวาน, ยูนิคอร์น, Burger กลาง, ชุดเค้กวันเกิด ชมพู, ชุดเค้กวันเกิด ฟ้า",390.0,289.0,26%,Gorogoro Store,,lazada,5067089951,100240335644
https://www.lazada.co.th/products/150-i2412531945.html,แป้งโดว์ ไร้สารพิษ ปลอดภัยสำหรับเด็ก 150 กรัม,นนทบุรี,5.0,59.0,614 ชิ้น,"สีแดง, สีน้ำเงิน, สีดำ, สีฟ้า, สีเขียวเข้ม, สีเขียวอ่อน, สีส้ม, สีชมพู, สีน้ำตาลเข้ม, สีเหลือง, สีม่วงเข้ม, ขาว (สีแป้งธรรมชาติ), สีแดงอมส้ม, สีม่วงอ่อน, สีน้ำตาลอ่อน",27.0,27.0,,PuriDough,,lazada,2412531945,100192434215
https://www.lazada.co.th/products/12-12-12-no2870mkk-i2582725686.html,ดินเบา แพ๊ค 12 สี ดินเบาเกาหลี ไร้สาเคมี พร้อมอุปกรณ์สำหรับปั้น {ขายยกแพ็ค 12 ชิ้น}ชุดแป้งโดว์ 12 ชิ้น No.2870mkk,ปทุมธานี,4.9,190.0,3.6K ชิ้น,,19.0,18.0,5%,ร้านเฮงเปา,,lazada,2582725686,1000282304
https://www.lazada.co.th/products/-i5127615693.html,🚀ส่งจากไทย🚀 แป้งโดว์ดินน้ำมัน ดินเบา ชุดไอติม ของเล่นเด็ก ทำอาหาร ขนม ปั้นตุ๊กตาน่ารัก แม่พิมพ์ดินน้ำมันสำหรับเด็ก,กรุงเทพมหานคร,4.9,19.0,39 ชิ้น,"แฮมเบอร์เกอร์（L）, เครื่องก๋วยเตี๋ยว（L）, ไอศครีม（L）",399.0,209.0,48%,RUGBAN,,lazada,5127615693,100192611284
https://www.lazada.co.th/products/nara-non-drying-dough-150-12-i1153060432.html,NARA Non-Drying Dough (แป้งโดว์ชนิดไม่แห้ง) ขนาด 150 กรัม (มีให้เลือก 12 สี),กรุงเทพมหานคร,4.892857142857143,56.0,707 ชิ้น,"Neon violet, Neon orange, Neon yellow, Neon green, Red, Black, White, Neon pink, Neon red, Blue, Violet, Green",110.0,110.0,,NARA Global,,lazada,1153060432,30426
https://www.lazada.co.th/products/10-colour-dough-toys-party-pack-10-mini-toys-kidtoy-i365160950.html,แป้งโดว์หลอด 10 สี Colour Dough Toys Party Pack 10 Mini ของเล่นเด็ก Toys สร้างเสริมพัฒนาการเด็ก ของเล่นสำหรับเด็ก kidtoy,ปทุมธานี,4.846153846153846,299.0,2.1K ชิ้น,หลากสี,200.0,69.0,66%,Idea_Toyshop,,lazada,365160950,1000071788
