link,product_name,keyword,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,itemId,shopid
www.lazada.co.th/products/kcs-12-i5273907051.html,ดินน้ำมันไร้สารพิษ KCS สำหรับเด็ก (แพคละ12ก้อน),ดินน้ำมัน,สงขลา,5.0,1,7,,0,25,0,แสงไทยสงขลาออนไลน์,,5273907051,4170307
www.lazada.co.th/products/122436-i4266041788.html,"ถูกที่สุด‼️ ดินน้ำมัน ดินเบาแพ๊ค 12,24,36 สี  ของเล่นเด็ก แฮนด์เมด ปลอดสารพิษ",ดินน้ำมัน,กรุงเทพมหานคร,5.0,97,794,,60,49,81.0,Tatb2020,,4266041788,1427449
www.lazada.co.th/products/3d-i5256125068.html,แม่พิมพ์แป้งไอติมรูปกระต่ายผีเสื้อสำหรับเด็กแม่พิมพ์ดินน้ำมันรูปกระต่าย3D ของเล่นแบบทำมือเด็กหญิงเด็กชายปาร์ตี้,ดินน้ำมัน,ต่างประเทศ,5.0,1,0,,173,115,66.0,Global Merch Park,,5256125068,4511381
www.lazada.co.th/products/-i4133453006.html,ดินเบา♝เครื่องทำเส้นก๋วยเตี๋ยวของเล่นปั้นดินน้ำมันโคลนสีปลอดสารพิษชุดเครื่องมือสำหรับเด็กไอศกรีมสาวเครื่องดินเหนียว,ดินน้ำมัน,กรุงเทพมหานคร,4.9,410,0,,99,45,45.0,Taole toy,,4133453006,3541390
www.lazada.co.th/products/12-i2738000300.html,ดินน้ำมัน หมีน้อย ดินน้ำมันไร้สารพิษ 12ก้อน/แพ็ค หลากสี สีนีออน สีสด ปั้นง่าย ของเล่นสำหรับเด็ก,ดินน้ำมัน,อุบลราชธานี,5.0,10,49,,99,60,60.0,openbook,,2738000300,2090269
www.lazada.co.th/products/play-clay-dough-i4837333483.html,แป้งโดว์ ดินเบา ของเล่นเสริมพัฒนาการ เกรดพรีเมียม ดินนุ่มปั้นสบาย ขึ้นทรงอยู่ตัว ดินน้ำมัน  play clay dough,ดินน้ำมัน,สมุทรปราการ,5.0,105,529,,70,35,50.0,Double EQ Plus,,4837333483,269837
www.lazada.co.th/products/24-new-clay-js-500-non-toxic-1-24-i5051420011.html,ดินน้ำมัน 24 สี NEW CLAY JS-500 สีสันสดใส ปั้นง่าย Non-Toxic (1 กล่องมี 24 ชิ้น),ดินน้ำมัน,กรุงเทพมหานคร,5.0,2,7,,0,65,0,Richyboy Stationery,,5051420011,2948872
www.lazada.co.th/products/-i2790169896.html,ดินเบา♝เครื่องทำเส้นก๋วยเตี๋ยวของเล่นปั้นดินน้ำมันโคลนสีปลอดสารพิษชุดเครื่องมือสำหรับเด็กไอศกรีมสาวเครื่องดินเหนียว,ดินน้ำมัน,กรุงเทพมหานคร,4.9,1108,0,,300,99,33.0,FUNToy-TH,,2790169896,2261796
www.lazada.co.th/products/kts-fuji-no150-non-toxic-150-i4249630302.html,(KTS)ดินน้ำมัน FUJI No.150 ดินน้ำมันไร้สารพิษ NON-TOXIC ขนาด 150 กรัม เลือกสีได้,ดินน้ำมัน,สมุทรปราการ,4.9,561,0,,0,9,0,kts.in.th,,4249630302,540025
www.lazada.co.th/products/diy-12-24-36-48-i5164073281.html,กระเป๋าดินน้ํามัน ดินเบาพิเศษ แฮนด์เมด ปลอดสารพิษ DIY 12 24 36 48 สี สําหรับเด็ก,ดินน้ํามัน,China,0.0,0,0,,87,30,34.0,Catly,,5164073281,4686302
