link,product_name,keyword,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,marketplace,suggestion,itemid,shopid
https://shopee.co.th/%F0%9F%9A%80%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B9%84%E0%B8%97%E0%B8%A2%F0%9F%9A%80-%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A1%E0%B8%B1%E0%B8%99-%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%9A%E0%B8%B2-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1-%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%99%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%81-%E0%B8%97%E0%B8%B3%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3-%E0%B8%82%E0%B8%99%E0%B8%A1-%E0%B8%9B%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B8%B8%E0%B9%8A%E0%B8%81%E0%B8%95%E0%B8%B2%E0%B8%99%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%9E%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B9%8C%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%81-i.848494691.25623490407?sp_atk=39f7020f-e6bd-459d-9405-2ac7436b6bbb&xptdk=39f7020f-e6bd-459d-9405-2ac7436b6bbb,🚀ส่งจากไทย🚀 แป้งโดว์ดินน้ำมัน ดินเบา ชุดไอติม ของเล่นเด็ก ทำอาหาร ขนม ปั้นตุ๊กตาน่ารัก แม่พิมพ์ดินน้ำมันสำหรับเด็ก,"แป้งโดว์, แป้งโด, แป้งโดว, ดินเบา, ของเล่น",จังหวัดกรุงเทพมหานคร,4.8,87,ขายแล้ว 265 ชิ้น,"แฮมเบอร์เกอร์（L）, เครื่องก๋วยเตี๋ยว（L）, ไอศครีม（L）",399,219,-45%,children's toy park,recom,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=25623490407&shopid=848494691,25623490407,848494691
https://shopee.co.th/%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A1%E0%B8%B1%E0%B8%99-%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%9A%E0%B8%B2-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1-%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%99%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%81-%E0%B8%97%E0%B8%B3%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3-%E0%B8%82%E0%B8%99%E0%B8%A1-%E0%B8%9B%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B8%B8%E0%B9%8A%E0%B8%81%E0%B8%95%E0%B8%B2%E0%B8%99%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%9E%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B9%8C%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%81-i.29652496.18528549918?sp_atk=20de8713-8ce5-41c0-89ff-b03c35e793fa&xptdk=20de8713-8ce5-41c0-89ff-b03c35e793fa,แป้งโดว์ดินน้ำมัน ดินเบา ชุดไอติม ของเล่นเด็ก ทำอาหาร ขนม ปั้นตุ๊กตาน่ารัก แม่พิมพ์ดินน้ำมันสำหรับเด็ก,"แป้งโดว์, แป้งโด, แป้งโดว, ดินเบา, ของเล่น",จังหวัดสมุทรปราการ,4.9,2038,ขายแล้ว 8.3พัน ชิ้น,"ชุดเบอร์เกอร์, ชุดไอติมแท่ง, ชุดขนมปัง, ชุดขนมหวาน, ชุดพิซซ่า, ชุดสัตว์, ชุดสัตว์ทะเล, ชุดผักผลไม้, ชุดหมอฟัน, ชุดหมอฟัน(L), ชุดเบอร์เกอร์ (L), ชุดราเมง(L), ชุดไอติม(L), ชุดขนมหวาน (L)",300,237,-21%,Double EQ  Plus,recom,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=18528549918&shopid=29652496,18528549918,29652496
https://shopee.co.th/%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C-170-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B9%82%E0%B8%AE%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%94-%E0%B8%9B%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%AA%E0%B8%B2%E0%B8%A3-%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AA%E0%B8%B5%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%96%E0%B8%B9%E0%B8%81-i.61474492.2565588861?sp_atk=01a8a7c2-3535-4ca3-ad11-2243aabc26c5&xptdk=01a8a7c2-3535-4ca3-ad11-2243aabc26c5,แป้งโดว์ 170 กรัม โฮมเมด ปลอดสาร เลือกสีได้ ราคาถูก,"แป้งโดว์, แป้งโด, แป้งโดว",จังหวัดขอนแก่น,4.9,1719,ขายแล้ว 28.8พัน ชิ้น,"สีแดง, สีเหลือง, สีชมพู, สีเขียวเข้ม, สีส้ม, สีฟ้า, สีม่วง, สีขาว, สีดำ**, สีน้ำตาล, สีเขียวอ่อน, สีน้ำเงิน",24,24,,porjai_doh แป้งโดว์พอใจโฮมเมด,,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=2565588861&shopid=61474492,2565588861,61474492
https://shopee.co.th/%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C-10-%E0%B8%AA%E0%B8%B5-10-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%B8%E0%B8%81-%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3-%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%AA%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%88%E0%B8%B4%E0%B8%99%E0%B8%95%E0%B8%99%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3-Color-Dough-Party-Pack-10pcs-i.239449790.4564853171?sp_atk=f021a09c-8f9c-47d9-bd64-796b9f5ea05e&xptdk=f021a09c-8f9c-47d9-bd64-796b9f5ea05e,แป้งโดว์ 10 สี 10 กระปุก / เสริมพัฒนาการ เสริมสร้างจินตนาการ Color Dough Party Pack 10pcs,"แป้งโดว์, Dough, แป้งโด, แป้งโดว",จังหวัดกรุงเทพมหานคร,4.8,3975,ขายแล้ว 19.2พัน ชิ้น,K28,56,48,-13%,chikitoy,recom,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=4564853171&shopid=239449790,4564853171,239449790
https://shopee.co.th/NARA-Kids-Tools-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%9E%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B9%8C%E0%B8%9E%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%81-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A1%E0%B8%B1%E0%B8%99-%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%9A%E0%B8%B2-%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C-%E0%B9%82%E0%B8%9F%E0%B8%A1%E0%B8%9B%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%9B%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B8%E0%B8%81%E0%B8%8A%E0%B8%99%E0%B8%B4%E0%B8%94-(%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%8A%E0%B8%B8%E0%B8%94)-i.27498498.2782202638?sp_atk=1aa2b8b5-c9d2-4d5d-9bec-d99964298f8f&xptdk=1aa2b8b5-c9d2-4d5d-9bec-d99964298f8f,NARA Kids Tools แม่พิมพ์พลาสติก สำหรับดินน้ำมัน ดินเบา แป้งโดว์ โฟมปั้น ดินปั้นทุกชนิด (เลือกชุด),"แป้งโดว์, แป้งโด, แป้งโดว, ดินเบา",จังหวัดกรุงเทพมหานคร,4.9,2287,ขายแล้ว 13.6พัน ชิ้น,"ชุดเริ่มต้น Basic, ชุด 16 ชิ้น, ชุด Animal, ชุด Sea World, ชุด Zoo, ชุด Jigsaw, ชุด Fairy, ชุด Beach, ชุด  01 สุ่มลาย, ชุด 02 สุ่มลาย",20,20,,NARA Official Store,,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=2782202638&shopid=27498498,2782202638,27498498
https://shopee.co.th/NARA-Dough-%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%81%E0%B8%A5%E0%B8%B9%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-520-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-4-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%B8%E0%B8%81-4-%E0%B8%AA%E0%B8%B5-%E0%B9%80%E0%B9%80%E0%B8%A5%E0%B8%B0-500-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-5-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%B8%E0%B8%81-5-%E0%B8%AA%E0%B8%B5-i.27498498.20910242758?sp_atk=bf465275-ff82-4cc2-aac9-f9c27c57e271&xptdk=bf465275-ff82-4cc2-aac9-f9c27c57e271,NARA Dough แป้งโดว์ไร้สารกลูเต็น ขนาด 520 กรัม 4 กระปุก 4 สี เเละ 500 กรัม 5 กระปุก 5 สี,"แป้งโดว์, Dough, แป้งโด, แป้งโดว",จังหวัดกรุงเทพมหานคร,4.9,404,ขายแล้ว 1.6พัน ชิ้น,"520 กรัม 4 สี, 500 กรัม 5 สี",139,139,,NARA Official Store,,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=20910242758&shopid=27498498,20910242758,27498498
https://shopee.co.th/%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C-%E0%B9%82%E0%B8%AE%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%94-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-300-g-500-g-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%B8%E0%B8%81%E0%B8%AB%E0%B8%B9%E0%B8%AB%E0%B8%B4%E0%B9%89%E0%B8%A7-i.61474492.6329505632?sp_atk=d3c2a6ec-c47b-4380-ba14-bd2cf063fb4a&xptdk=d3c2a6ec-c47b-4380-ba14-bd2cf063fb4a,แป้งโดว์ โฮมเมด ขนาด 300 g / 500 g กระปุกหูหิ้ว,"แป้งโดว์, แป้งโด, แป้งโดว",จังหวัดขอนแก่น,4.9,262,ขายแล้ว 3.2พัน ชิ้น,"สีแดง, สีเหลือง, สีชมพู, สีเขียวเข้ม, สีส้ม, สีฟ้า, สีม่วง, ขาว, ดำ**, น้ำตาล, น้ำเงิน, เขียวอ่อน",45,45,,porjai_doh แป้งโดว์พอใจโฮมเมด,,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=6329505632&shopid=61474492,6329505632,61474492
https://shopee.co.th/%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C-10-%E0%B8%AA%E0%B8%B5-%E0%B8%A3%E0%B8%A7%E0%B8%A110%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%B8%E0%B8%81-%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%99%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%81-(12006)-i.26225709.7906600533?sp_atk=dbdc6111-81d0-4aff-b3ca-166be1de6b97&xptdk=dbdc6111-81d0-4aff-b3ca-166be1de6b97,แป้งโดว์ 10 สี รวม10กระปุก ของเล่นเด็ก (12006),"แป้งโดว์, แป้งโด, แป้งโดว, ของเล่น",จังหวัดกรุงเทพมหานคร,4.8,1509,ขายแล้ว 5.4พัน ชิ้น,,65,53,-18%,ร้านน้องนิลิน,recom,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=7906600533&shopid=26225709,7906600533,26225709
https://shopee.co.th/%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94%E0%B8%A7%E0%B9%8C-%E0%B9%82%E0%B8%AE%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%94-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-500-g-%E0%B9%81%E0%B8%96%E0%B8%A1%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%8B%E0%B8%B4%E0%B8%9B-%E0%B8%9B%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%AA%E0%B8%B2%E0%B8%A3-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%A0%E0%B8%B2%E0%B8%9E-i.61474492.2029242224?sp_atk=3cb1029a-89ae-4225-9574-2810704023ae&xptdk=3cb1029a-89ae-4225-9574-2810704023ae,แป้งโดว์ โฮมเมด ขนาด 500 g แถมถุงซิป ปลอดสาร ราคาคุณภาพ,"แป้งโดว์, แป้งโด, แป้งโดว",จังหวัดขอนแก่น,5,130,ขายแล้ว 1.1พัน ชิ้น,"สีแดง, สีเหลือง, สีชมพู, สีเขียวเข้ม, สีฟ้า, สีส้ม, สีม่วง, สีขาว, สีดำ**, สีน้ำตาล, สีเขียวอ่อน, สีน้ำเงิน",65,65,,porjai_doh แป้งโดว์พอใจโฮมเมด,,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=2029242224&shopid=61474492,2029242224,61474492
https://shopee.co.th/%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%94-%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B9%88%E0%B8%B2-%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3-i.75325419.1378742285?sp_atk=2bcaeac5-8112-4921-ae7f-3698cf8287d3&xptdk=2bcaeac5-8112-4921-ae7f-3698cf8287d3,แป้งโด แป้งเปล่า เสริมพัฒนาการ,แป้งโด,จังหวัดกรุงเทพมหานคร,4.8,621,ขายแล้ว 2.1พัน ชิ้น,"แป้งโด/9115, แป้งโด/6610, แป้งโด/เค็ก/581B, แป้งโดอาหารเช้า/581A, แป้งโดหมอฟัน/6611, แป้งโด/D1, แป้งโด/8062, แป้งโด/อาหารเช้าไข่, แป้งโด/อาหารกลางวัน, แป้งโด/ผลไม้, แป้งโด/น่องไก่, แป้งโด/Teppanyaki, แป้งโด/บาร์บีคิว, แป้งโด/แซนวิส, แป้งโด/โดนัท, แป้งโด/8619, แป้งโด/8620",59,59,,Angbpaotoy,recom,shopee,https://shopee.co.th/find_similar_products?catid=100632&itemid=1378742285&shopid=75325419,1378742285,75325419
